tier,s1,s2,text,match,group_num,occ_num
underlying_sancara,405.863,409.233,nnnsndmgm,match,39.0,6.0
underlying_sancara,416.344,419.988,nnnsndmgm,match,39.0,3.0
underlying_sancara,423.185,425.222,nnsns,no match,,
underlying_sancara,427.344,430.714,nnnsndmgm,match,39.0,5.0
underlying_sancara,432.271,435.688,sssndmnnsns,match,36.0,1.0
underlying_sancara,443.642,446.576,mgmpmggrs,match,1.0,0.0
underlying_sancara,454.28,456.862,mgmpmggrs,match,1.0,8.0
underlying_sancara,465.128,467.642,mgmpmggrs,no match,,
underlying_sancara,470.887,473.387,mnnssss,no match,,
underlying_sancara,473.389,476.046,nrsnsndm,match,25.0,1.0
underlying_sancara,476.266,478.811,gmpmgrgm,match,34.0,2.0
underlying_sancara,481.314,484.072,mmgmpgpmgrs,match,20.0,10.0
underlying_sancara,484.072,486.985,sssnnpn,match,9.0,2.0
underlying_sancara,508.4,512.228,smmggmggrs,no match,,
underlying_full_phrase,67.388,72.299,ppmmgmpgpmgrs,no match,,
underlying_full_phrase,72.506,75.23,sssnnpn,match,9.0,0.0
underlying_full_phrase,75.428,78.776,smmggmggrs,no match,,
underlying_full_phrase,79.342,84.014,ppmmgmpgpmgrs,no match,,
underlying_full_phrase,84.414,87.214,sssnnpn,no match,,
underlying_full_phrase,87.228,90.457,smmggmggrs,no match,,
underlying_full_phrase,90.787,95.358,nnsndmmmgmpgpmgrs,match,41.0,0.0
underlying_full_phrase,95.628,98.442,sssnnpn,match,4.0,0.0
underlying_full_phrase,98.685,101.557,smmggmggrs,no match,,
underlying_full_phrase,102.335,106.878,nnsndmmmgmpgpmgrs,match,41.0,1.0
underlying_full_phrase,107.114,109.742,sssnnpn,match,4.0,5.0
underlying_full_phrase,110.042,112.428,smmggmggrs,match,1.0,13.0
underlying_full_phrase,112.957,118.322,sgrgmmgmmnnssss,match,42.0,1.0
underlying_full_phrase,118.388,125.085,nrsnsndmgmpmgrgmgmn,match,57.0,1.0
underlying_full_phrase,125.156,129.601,nnsndmmmgmpgpmgrs,match,22.0,1.0
underlying_full_phrase,129.942,132.712,sssnnpn,match,4.0,4.0
underlying_full_phrase,132.712,135.383,smmggmggrs,no match,,
underlying_full_phrase,135.551,141.207,sgrgmmgmmnnssss,match,42.0,3.0
underlying_full_phrase,141.295,147.865,nrsnsndmgmpmgrgmgmn,match,51.0,1.0
underlying_full_phrase,147.903,152.314,nnsndmmmgmpgpmgrs,match,38.0,2.0
underlying_full_phrase,152.568,155.442,sssnnpn,match,4.0,2.0
underlying_full_phrase,177.981,184.771,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,185.089,189.504,sssndmnnsns,match,29.0,0.0
underlying_full_phrase,196.985,203.728,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,203.857,207.628,sssndmnnsns,match,26.0,1.0
underlying_full_phrase,207.722,214.442,nnnnnnsndmgmnns,match,47.0,0.0
underlying_full_phrase,214.871,218.866,sssndmnnsns,match,26.0,0.0
underlying_full_phrase,218.866,225.622,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,230.055,235.345,grsssnrsnndmgmn,match,44.0,3.0
underlying_full_phrase,235.518,240.377,ssnsrsndmmgmpmggrs,match,41.0,2.0
underlying_full_phrase,240.921,246.099,grsssnrsnndmgmn,match,44.0,1.0
underlying_full_phrase,246.484,251.162,ssnsrsndmmgmpmggrs,match,43.0,0.0
underlying_full_phrase,251.822,257.081,grsssnrsnndmgmn,match,54.0,1.0
underlying_full_phrase,257.404,261.848,ssnsrsndmmgmpmggrs,match,38.0,1.0
underlying_full_phrase,262.131,267.598,sgrgmmgmmnnssss,match,42.0,2.0
underlying_full_phrase,267.821,274.154,nrsnsndmgmpmgrgmgmn,match,51.0,2.0
underlying_full_phrase,274.166,278.433,nnsndmmmgmpgpmgrs,match,22.0,2.0
underlying_full_phrase,278.628,281.267,sssnnpn,match,4.0,8.0
underlying_full_phrase,302.87,308.459,pmgrssssnnpn,no match,,
underlying_full_phrase,308.723,313.534,ssgrgmgmpmggrs,match,37.0,2.0
underlying_full_phrase,313.777,319.077,pmgrssssnnpn,no match,,
underlying_full_phrase,319.709,324.564,ssgrgmgmpmggrs,match,37.0,1.0
underlying_full_phrase,324.733,330.233,pmgrssssnnpn,match,40.0,1.0
underlying_full_phrase,330.538,335.249,ssgrgmgmpmggrs,match,37.0,0.0
underlying_full_phrase,335.344,340.842,pmgrssssnnpn,no match,,
underlying_full_phrase,341.371,346.427,ssgrgmgmpmggrs,no match,,
underlying_full_phrase,352.377,357.128,mmmmmpmgrgm,match,37.0,5.0
underlying_full_phrase,357.136,362.847,mnnnsndmmmgmpmggrs,match,38.0,4.0
underlying_full_phrase,363.11,368.055,mmmmmpmgrgm,no match,,
underlying_full_phrase,368.159,373.715,mnnnsndmmmgmpmggrs,match,38.0,3.0
underlying_full_phrase,376.504,381.133,nnnsndmgmnns,no match,,
underlying_full_phrase,381.528,386.014,sssndmnnsns,match,29.0,1.0
underlying_full_phrase,405.863,410.591,nnnsndmgmnns,match,39.0,6.0
underlying_full_phrase,410.8,414.366,sssndmnnsns,match,26.0,3.0
underlying_full_phrase,421.577,425.248,sssndmnnsns,match,26.0,2.0
underlying_full_phrase,425.353,431.971,nnnnnnsndmgmnns,no match,,
underlying_full_phrase,432.271,435.688,sssndmnnsns,match,36.0,1.0
underlying_full_phrase,436.186,441.475,grsssnrsnndmgmn,match,44.0,0.0
underlying_full_phrase,441.654,446.576,ssnsrsndmmgmpmggrs,match,38.0,0.0
underlying_full_phrase,446.944,451.942,grsssnrsnndmgmn,no match,,
underlying_full_phrase,452.423,456.867,ssnsrsndmmgmpmggrs,match,41.0,4.0
underlying_full_phrase,457.812,462.967,grsssnrsnndmgmn,match,44.0,2.0
underlying_full_phrase,463.194,467.639,ssnsrsndmmgmpmggrs,no match,,
underlying_full_phrase,473.418,479.629,nrsnsndmgmpmgrgmgmn,match,51.0,0.0
