tier,s1,s2,text,match,group_num,occ_num
underlying_sancara,69.111,72.285,mmgmpgpmgrs,match,20.0,18.0
underlying_sancara,72.506,75.23,sssnnpn,match,9.0,0.0
underlying_sancara,75.428,78.776,smmggmggrs,no match,,
underlying_sancara,80.928,84.014,mmgmpgpmgrs,match,24.0,0.0
underlying_sancara,84.414,87.214,sssnnpn,no match,,
underlying_sancara,87.228,90.457,smmggmggrs,no match,,
underlying_sancara,92.614,95.385,mmgmpgpmgrs,no match,,
underlying_sancara,95.628,98.442,sssnnpn,match,4.0,0.0
underlying_sancara,98.685,101.557,smmggmggrs,no match,,
underlying_sancara,103.942,106.885,mmgmpgpmgrs,match,41.0,1.0
underlying_sancara,107.114,109.742,sssnnpn,match,4.0,5.0
underlying_sancara,110.042,112.428,smmggmggrs,match,1.0,13.0
underlying_sancara,112.957,115.542,sgrgmmgm,no match,,
underlying_sancara,115.671,118.314,mnnssss,no match,,
underlying_sancara,118.385,121.185,nrsnsndm,match,25.0,2.0
underlying_sancara,121.228,124.228,gmpmgrgm,match,34.0,0.0
underlying_sancara,126.785,129.6,mmgmpgpmgrs,match,41.0,3.0
underlying_sancara,129.942,132.712,sssnnpn,match,4.0,4.0
underlying_sancara,132.712,135.383,smmggmggrs,no match,,
underlying_sancara,135.528,138.428,sgrgmmgm,no match,,
underlying_sancara,138.542,141.185,mnnssss,no match,,
underlying_sancara,141.257,144.142,nrsnsndm,match,25.0,3.0
underlying_sancara,144.228,147.014,gmpmgrgm,no match,,
underlying_sancara,149.585,152.314,mmgmpgpmgrs,match,20.0,5.0
underlying_sancara,152.568,155.442,sssnnpn,match,4.0,2.0
underlying_sancara,180.044,183.485,nnnsndmgm,match,39.0,0.0
underlying_sancara,186.828,189.5,nnsns,no match,,
underlying_sancara,198.755,202.342,nnnsndmgm,match,39.0,1.0
underlying_sancara,205.442,207.642,nnsns,match,26.0,1.0
underlying_sancara,209.411,213.214,nnnsndmgm,match,39.0,4.0
underlying_sancara,216.466,218.844,nnsns,match,26.0,0.0
underlying_sancara,220.744,224.422,nnnsndmgm,match,39.0,2.0
underlying_sancara,225.942,229.566,sssndmnnsns,match,36.0,0.0
underlying_sancara,231.914,234.1,snrsnndm,no match,,
underlying_sancara,237.455,240.355,mgmpmggrs,match,1.0,10.0
underlying_sancara,242.728,244.844,snrsnndm,match,31.0,1.0
underlying_sancara,248.285,251.15,mgmpmggrs,match,3.0,11.0
underlying_sancara,259.171,261.842,mgmpmggrs,match,20.0,6.0
underlying_sancara,262.114,264.966,sgrgmmgm,no match,,
underlying_sancara,265.1,267.585,mnnssss,no match,,
underlying_sancara,267.814,270.471,nrsnsndm,match,25.0,0.0
underlying_sancara,270.471,273.233,gmpmgrgm,match,34.0,1.0
underlying_sancara,275.748,278.428,mmgmpgpmgrs,match,3.0,12.0
underlying_sancara,278.628,281.267,sssnnpn,match,4.0,8.0
underlying_sancara,302.885,305.457,pmgrs,no match,,
underlying_sancara,305.514,308.446,sssnnpn,match,4.0,6.0
underlying_sancara,308.722,310.925,ssgrg,no match,,
underlying_sancara,310.925,313.522,mgmpmggrs,match,20.0,15.0
underlying_sancara,313.757,316.274,pmgrs,no match,,
underlying_sancara,316.457,319.083,sssnnpn,match,4.0,3.0
underlying_sancara,319.698,321.916,ssgrg,match,3.0,6.0
underlying_sancara,321.941,324.564,mgmpmggrs,match,1.0,4.0
underlying_sancara,324.714,327.122,pmgrs,no match,,
underlying_sancara,327.385,330.214,sssnnpn,match,4.0,1.0
underlying_sancara,330.535,332.705,ssgrg,no match,,
underlying_sancara,332.8,335.214,mgmpmggrs,no match,,
underlying_sancara,335.328,337.788,pmgrs,no match,,
underlying_sancara,338.128,340.828,sssnnpn,match,4.0,7.0
underlying_sancara,341.357,343.564,ssgrg,no match,,
underlying_sancara,343.565,346.428,mgmpmggrs,match,20.0,16.0
underlying_sancara,352.377,357.128,mmmmmpmgrgm,match,37.0,5.0
underlying_sancara,357.128,359.544,mnnnsndm,match,28.0,0.0
underlying_sancara,359.571,362.842,mmgmpmggrs,match,20.0,3.0
underlying_sancara,363.11,368.055,mmmmmpmgrgm,no match,,
underlying_sancara,368.155,370.585,mnnnsndm,no match,,
underlying_sancara,370.671,373.701,mmgmpmggrs,match,20.0,2.0
underlying_sancara,374.342,376.422,ssnn,no match,,
underlying_sancara,376.504,379.8,nnnsndmgm,match,23.0,2.0
underlying_sancara,383.066,386.014,nnsns,no match,,
underlying_sancara,403.528,405.562,ssnn,no match,,
