tier,s1,s2,text,match,group_num,occ_num
underlying_sancara,305.514,308.446,sssnnpn,no match,,
underlying_sancara,308.722,310.925,ssgrg,match,1.0,4.0
underlying_sancara,310.925,313.522,mgmpmggrs,match,3.0,2.0
underlying_sancara,313.757,316.274,pmgrs,no match,,
underlying_sancara,316.457,319.083,sssnnpn,no match,,
underlying_sancara,319.698,321.916,ssgrg,no match,,
underlying_sancara,321.941,324.564,mgmpmggrs,match,8.0,0.0
underlying_sancara,324.714,327.122,pmgrs,no match,,
underlying_sancara,327.385,330.214,sssnnpn,match,4.0,1.0
underlying_sancara,330.535,332.705,ssgrg,no match,,
underlying_sancara,332.8,335.214,mgmpmggrs,no match,,
underlying_sancara,335.328,337.788,pmgrs,no match,,
underlying_sancara,338.128,340.828,sssnnpn,no match,,
underlying_sancara,341.357,343.564,ssgrg,no match,,
underlying_sancara,343.565,346.428,mgmpmggrs,no match,,
underlying_sancara,352.377,357.128,mmmmmpmgrgm,no match,,
underlying_sancara,357.128,359.544,mnnnsndm,match,5.0,0.0
underlying_sancara,359.571,362.842,mmgmpmggrs,no match,,
underlying_sancara,363.11,368.055,mmmmmpmgrgm,no match,,
underlying_sancara,368.155,370.585,mnnnsndm,match,7.0,3.0
underlying_sancara,370.671,373.701,mmgmpmggrs,no match,,
underlying_sancara,374.342,376.422,ssnn,no match,,
underlying_sancara,376.504,379.8,nnnsndmgm,no match,,
underlying_sancara,383.066,386.014,nnsns,no match,,
underlying_sancara,403.528,405.562,ssnn,no match,,
underlying_sancara,405.863,409.233,nnnsndmgm,no match,,
underlying_sancara,416.344,419.988,nnnsndmgm,no match,,
underlying_sancara,423.185,425.222,nnsns,match,0.0,4.0
underlying_sancara,427.344,430.714,nnnsndmgm,no match,,
underlying_sancara,432.271,435.688,sssndmnnsns,match,15.0,16.0
underlying_sancara,443.642,446.576,mgmpmggrs,match,1.0,15.0
underlying_sancara,454.28,456.862,mgmpmggrs,no match,,
underlying_sancara,465.128,467.642,mgmpmggrs,match,1.0,17.0
underlying_sancara,470.887,473.387,mnnssss,no match,,
underlying_sancara,473.389,476.046,nrsnsndm,match,10.0,8.0
underlying_sancara,476.266,478.811,gmpmgrgm,no match,,
underlying_sancara,481.314,484.072,mmgmpgpmgrs,match,7.0,2.0
underlying_sancara,484.072,486.985,sssnnpn,no match,,
underlying_sancara,508.4,512.228,smmggmggrs,no match,,
underlying_full_phrase,67.388,72.299,ppmmgmpgpmgrs,no match,,
underlying_full_phrase,72.506,75.23,sssnnpn,no match,,
underlying_full_phrase,75.428,78.776,smmggmggrs,no match,,
underlying_full_phrase,79.342,84.014,ppmmgmpgpmgrs,no match,,
underlying_full_phrase,84.414,87.214,sssnnpn,no match,,
underlying_full_phrase,87.228,90.457,smmggmggrs,no match,,
underlying_full_phrase,90.787,95.358,nnsndmmmgmpgpmgrs,no match,,
underlying_full_phrase,95.628,98.442,sssnnpn,match,1.0,18.0
underlying_full_phrase,98.685,101.557,smmggmggrs,match,1.0,2.0
underlying_full_phrase,102.335,106.878,nnsndmmmgmpgpmgrs,no match,,
underlying_full_phrase,107.114,109.742,sssnnpn,no match,,
underlying_full_phrase,110.042,112.428,smmggmggrs,match,1.0,1.0
