,tier,s1,s2,text,match_melodia,match_melodia_mix,match_ftanet,match_ftanet_mix,match_melodia_spleeter,match_melodia_spleeter_mix,group_num_melodia,group_num_melodia_mix,group_num_ftanet,group_num_ftanet_mix,group_num_melodia_spleeter,group_num_melodia_spleeter_mix,occ_num_melodia,occ_num_melodia_mix,occ_num_ftanet,occ_num_ftanet_mix,occ_num_melodia_spleeter,occ_num_melodia_spleeter_mix
10,underlying_sancara,107.11399999999999,109.742,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,4.0,,4.0,5.0,3.0,
11,underlying_sancara,110.042,112.428,smmggmggrs,match,match,match,match,no match,match,2.0,1.0,1.0,1.0,,1.0,6.0,1.0,5.0,13.0,,7.0
12,underlying_sancara,112.95700000000001,115.542,sgrgmmgm,match,match,match,no match,match,match,7.0,7.0,0.0,,8.0,2.0,0.0,5.0,12.0,,0.0,1.0
13,underlying_sancara,115.671,118.314,mnnssss,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
14,underlying_sancara,118.385,121.185,nrsnsndm,no match,match,no match,match,no match,match,,5.0,,25.0,,0.0,,1.0,,2.0,,13.0
15,underlying_sancara,121.228,124.228,gmpmgrgm,no match,no match,match,match,no match,no match,,,30.0,34.0,,,,,7.0,0.0,,
16,underlying_sancara,126.785,129.6,mmgmpgpmgrs,match,no match,match,match,match,match,5.0,,6.0,41.0,5.0,2.0,3.0,,0.0,3.0,7.0,6.0
17,underlying_sancara,129.942,132.71200000000002,sssnnpn,match,no match,match,match,match,match,1.0,,3.0,4.0,1.0,2.0,6.0,,0.0,4.0,8.0,10.0
18,underlying_sancara,132.71200000000002,135.38299999999998,smmggmggrs,no match,no match,match,no match,no match,match,,,1.0,,,2.0,,,4.0,,,3.0
19,underlying_sancara,135.528,138.428,sgrgmmgm,match,no match,match,no match,match,no match,0.0,,0.0,,8.0,,9.0,,16.0,,1.0,
20,underlying_sancara,138.542,141.185,mnnssss,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
21,underlying_sancara,141.257,144.142,nrsnsndm,no match,match,no match,match,no match,match,,0.0,,25.0,,0.0,,13.0,,3.0,,15.0
22,underlying_sancara,144.22799999999998,147.014,gmpmgrgm,match,no match,no match,no match,no match,no match,9.0,,,,,,0.0,,,,,
23,underlying_sancara,149.585,152.314,mmgmpgpmgrs,match,match,match,match,match,no match,20.0,7.0,0.0,20.0,5.0,,1.0,0.0,19.0,5.0,5.0,
24,underlying_sancara,152.56799999999998,155.442,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,1.0,,1.0,2.0,1.0,
25,underlying_sancara,180.044,183.485,nnnsndmgm,match,match,match,match,match,match,24.0,10.0,18.0,39.0,26.0,8.0,4.0,15.0,0.0,0.0,2.0,11.0
26,underlying_sancara,186.828,189.5,nnsns,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
27,underlying_sancara,198.755,202.342,nnnsndmgm,match,no match,match,match,match,no match,24.0,,18.0,39.0,35.0,,5.0,,1.0,1.0,3.0,
28,underlying_sancara,205.442,207.642,nnsns,match,match,match,match,match,match,3.0,0.0,4.0,26.0,3.0,3.0,0.0,11.0,0.0,1.0,0.0,1.0
29,underlying_sancara,209.41099999999997,213.21400000000003,nnnsndmgm,no match,no match,match,match,match,match,,,18.0,39.0,26.0,8.0,,,3.0,4.0,1.0,14.0
30,underlying_sancara,216.46599999999998,218.84400000000002,nnsns,match,no match,match,match,match,match,3.0,,4.0,26.0,3.0,3.0,1.0,,1.0,0.0,1.0,0.0
31,underlying_sancara,220.74400000000003,224.422,nnnsndmgm,match,no match,match,match,match,no match,24.0,,18.0,39.0,35.0,,0.0,,2.0,2.0,0.0,
32,underlying_sancara,225.942,229.56599999999997,sssndmnnsns,no match,no match,match,match,match,no match,,,27.0,36.0,29.0,,,,0.0,0.0,0.0,
33,underlying_sancara,231.91400000000002,234.1,snrsnndm,match,no match,match,no match,match,no match,8.0,,22.0,,7.0,,3.0,,0.0,,0.0,
34,underlying_sancara,237.455,240.355,mgmpmggrs,match,match,match,match,match,match,27.0,1.0,20.0,1.0,5.0,6.0,1.0,9.0,2.0,10.0,4.0,1.0
35,underlying_sancara,242.72799999999998,244.84400000000002,snrsnndm,match,match,match,match,match,no match,8.0,13.0,7.0,31.0,7.0,,1.0,1.0,1.0,1.0,2.0,
36,underlying_sancara,248.285,251.15,mgmpmggrs,match,no match,match,match,match,no match,27.0,,20.0,3.0,5.0,,0.0,,1.0,11.0,2.0,
37,underlying_sancara,259.171,261.842,mgmpmggrs,match,match,match,match,match,match,5.0,1.0,1.0,20.0,5.0,2.0,5.0,11.0,8.0,6.0,0.0,5.0
38,underlying_sancara,262.11400000000003,264.966,sgrgmmgm,match,no match,no match,no match,match,no match,7.0,,,,8.0,,1.0,,,,2.0,
39,underlying_sancara,265.1,267.585,mnnssss,no match,match,no match,no match,no match,match,,2.0,,,,0.0,,9.0,,,,17.0
40,underlying_sancara,267.814,270.471,nrsnsndm,no match,match,no match,match,no match,match,,0.0,,25.0,,0.0,,9.0,,0.0,,16.0
41,underlying_sancara,270.471,273.233,gmpmgrgm,match,no match,no match,match,match,match,9.0,,,34.0,11.0,4.0,1.0,,,1.0,0.0,3.0
42,underlying_sancara,275.748,278.428,mmgmpgpmgrs,match,match,match,match,match,no match,20.0,3.0,17.0,3.0,5.0,,2.0,1.0,12.0,12.0,8.0,
43,underlying_sancara,278.628,281.267,sssnnpn,match,no match,match,match,match,no match,1.0,,3.0,4.0,1.0,,0.0,,3.0,8.0,0.0,
44,underlying_sancara,302.885,305.457,pmgrs,no match,no match,no match,no match,no match,no match,,,,,,,,,,,,
45,underlying_sancara,305.514,308.44599999999997,sssnnpn,no match,no match,no match,match,no match,match,,,,4.0,,2.0,,,,6.0,,14.0
46,underlying_sancara,308.722,310.925,ssgrg,no match,match,no match,no match,no match,match,,1.0,,,,2.0,,4.0,,,,0.0
47,underlying_sancara,310.925,313.522,mgmpmggrs,match,match,match,match,match,no match,18.0,3.0,17.0,20.0,19.0,,6.0,2.0,6.0,15.0,5.0,
